Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age
Bachelor,Single,58.138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,64
Bachelor,Single,46.344,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,67
Bachelor,Together,71.613,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,56
Bachelor,Together,26.646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,37
PhD,Married,58.293,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,40
Master,Together,62.513,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,54
Bachelor,Divorced,55.635,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,50
PhD,Married,33.454,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,36
PhD,Together,30.351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,47
PhD,Together,5.648,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,71
Bachelor,Married,52.24725135379061,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,38
Basic,Married,7.5,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,45
Bachelor,Divorced,63.033,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,62
Master,Divorced,59.354,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,69
Bachelor,Married,17.323,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,34
PhD,Single,82.8,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,75
Bachelor,Married,41.85,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,41
Bachelor,Together,37.76,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,75
Master,Married,76.995,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,72
